English_title,Year,Dir_or_prod,Studio,Award_mains,Mains_cat,Award_fest,Fest_cat,Production_country
The Secret of the Grain,2008-01-01,"Abdellatif Kechiche, Abdel Kechiche, Abdellatif Kechiche",,1,"César - Best Director, César - Best Film",1,Venise - Grand Prix du Jury,France
Paper Soldier,2008-01-01,Aleksei Alekseivich German,,0,,1,Venise - Lion d'Argent,
The Class ,2008-01-01,Laurent Cantet,,0,,1,Cannes - Palme d'Or,France
Milk,2008-01-01,"Gus Van Sant, Bruce Cohen and Dan Jinks",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Curious Case of Benjamin Button,2008-01-01,"Claudio Miranda, David Fincher, Kathleen Kennedy, Frank Marshall, and Ceán Chaffin",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
A Secret,2008-01-01,"Claude Miller, Claude Miller",,1,"César - Best Director, César - Best Film",0,,
Il divo,2008-01-01,Paolo Sorrentino,,0,,0,,"Italy, France"
The Witnesses,2008-01-01,André Téchiné,,1,César - Best Director,0,,
Changeling,2008-01-01,Tom Stern,,1,Oscar - Best Cinematography,0,,
The Wrestler,2008-01-01,Darren Aronofsky,,0,,1,Venise - Lion d'Or,United States
The First Day of the Rest of Your Life,2009-01-01,"Rémi Bezançon, Rémi Bezançon",,1,"César - Best Director, César - Best Film",0,,
Avatar,2009-01-01,"Mauro Fiore, James Cameron, James Cameron and Jon Landau",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Séraphine,2009-01-01,"Martin Provost, Martin Provost",,1,"César - Best Director, César - Best Film",0,,
Public Enemy Number One: Part 1 and 2,2009-01-01,"Jean-François Richet, Jean-François Richet",,1,"César - Best Director, César - Best Film",0,,
The Class,2009-01-01,"Laurent Cantet, Laurent Cantet",,1,"César - Best Director, César - Best Film",0,,
Fish Tank,2009-01-01,Andrea Arnold,,0,,0,,United Kingdom
Inglourious Basterds,2009-01-01,"Robert Richardson, Quentin Tarantino, Lawrence Bender",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Soul Kitchen,2009-01-01,Fatih Akın,,0,,1,Venise - Grand Prix du Jury,Germany
The White Ribbon,2009-01-01,"Christian Berger, Michael Haneke",,1,Oscar - Best Cinematography,1,Cannes - Palme d'Or,"Germany, Austria, France"
Precious,2009-01-01,Lee Daniels,,1,Oscar - Best Director,0,,
Precious: Based on the Novel 'Push' by Sapphire,2009-01-01,"Lee Daniels, Sarah Siegel-Magness, and Gary Magness",,1,Oscar - Best Film,0,,
I've Loved You So Long,2009-01-01,Philippe Claudel,,1,César - Best Film,0,,
The Blind Side,2009-01-01,"Gil Netter, Andrew A. Kosove, and Broderick Johnson",,1,Oscar - Best Film,0,,
Women Without Men,2009-01-01,Shirin Neshat,,0,,1,Venise - Lion d'Argent,
A Christmas Tale,2009-01-01,"Arnaud Desplechin, Arnaud Desplechin",,1,"César - Best Director, César - Best Film",0,,
District 9,2009-01-01,Peter Jackson and Carolynne Cunningham,,1,Oscar - Best Film,0,,
Up in the Air,2009-01-01,"Jason Reitman, Daniel Dubiecki, Ivan Reitman, and Jason Reitman",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Hurt Locker,2009-01-01,"Barry Ackroyd, Kathryn Bigelow, Kathryn Bigelow, Mark Boal, Nicolas Chartier, and Greg Shapiro",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Thirst,2009-01-01,Park Chan-wook,,0,,0,,South Korea
Harry Potter and the Half-Blood Prince,2009-01-01,Bruno Delbonnel,,1,Oscar - Best Cinematography,0,,
A Serious Man,2009-01-01,Joel Coen and Ethan Coen,,1,Oscar - Best Film,0,,
An Education,2009-01-01,Finola Dwyer and Amanda Posey,,1,Oscar - Best Film,0,,
Up,2009-01-01,Jonas Rivera,,1,Oscar - Best Film,0,,
Paris,2009-01-01,Cedric Klapisch,,1,César - Best Film,0,,
Lebanon,2009-01-01,Samuel Maoz,,0,,1,Venise - Lion d'Or,Israel
Inception,2010-01-01,"Wally Pfister, Christopher Nolan and Emma Thomas",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Essential Killing,2010-01-01,Jerzy Skolimowski,,0,,1,Venise - Grand Prix du Jury,"Hungary, Ireland, Norway, Poland"
In the Beginning,2010-01-01,"Xavier Giannoli, Xavier Giannoli",,1,"César - Best Director, César - Best Film",0,,
The Social Network,2010-01-01,"Jeff Cronenweth, David Fincher, Dana Brunetti, Ceán Chaffin, Michael De Luca, and Scott Rudin",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Concert,2010-01-01,"Radu Mihaileanu, Radu Mihaileanu",,1,"César - Best Director, César - Best Film",0,,
Welcome,2010-01-01,"Philippe Lioret, Philippe Lioret",,1,"César - Best Director, César - Best Film",0,,
Somewhere ,2010-01-01,Sofia Coppola,,0,,1,Venise - Lion d'Or,United States
127 Hours,2010-01-01,"Danny Boyle, John Smithson, and Christian Colson",,1,Oscar - Best Film,0,,
Uncle Boonmee Who Can Recall His Past Lives,2010-01-01,Apichatpong Weerasethakul,,0,,1,Cannes - Palme d'Or,"Thailand, France, Germany"
Skirt Day,2010-01-01,Jean-Paul Lilienfeld,,1,César - Best Film,0,,
The King's Speech,2010-01-01,"Danny Cohen, Tom Hooper, Iain Canning, Emile Sherman, and Gareth Unwin",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
True Grit,2010-01-01,"Roger Deakins, Joel Coen and Ethan Coen, Joel Coen, Ethan Coen, and Scott Rudin",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
A Prophet,2010-01-01,"Jacques Audiard, Jacques Audiard, Jacques Audiard",,1,"César - Best Director, César - Best Film",1,Cannes - Grand Prix,France
Rapt!,2010-01-01,Lucas Belvaux,,1,César - Best Director,0,,
Wild Grass,2010-01-01,Alain Resnais,,1,César - Best Film,0,,
Black Swan,2010-01-01,"Matthew Libatique, Darren Aronofsky, Scott Franklin, Mike Medavoy, and Brian Oliver",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Kids Are All Right,2010-01-01,"Gary Gilbert, Jeffrey Levy-Hinte, and Celine Rattray",,1,Oscar - Best Film,0,,
Rapt,2010-01-01,Lucas Belvaux,,1,César - Best Film,0,,
The Fighter,2010-01-01,"David O. Russell, David Hoberman, Todd Lieberman, and Mark Wahlberg",,1,"Oscar - Best Director, Oscar - Best Film",0,,
A Screaming Man,2010-01-01,Mahamat-Saleh Haroun,,0,,0,,"Chad, France, Belgium"
Toy Story 3,2010-01-01,Darla K. Anderson,,1,Oscar - Best Film,0,,
The Last Circus,2010-01-01,Álex de la Iglesia,,0,,1,Venise - Lion d'Argent,
Winter's Bone,2010-01-01,Alix Madigan and Anne Rosellini,,1,Oscar - Best Film,0,,
The Artist,2011-01-01,"Guillaume Schiffman, Michel Hazanavicius, Thomas Langmann, Michel Hazanavicius (won the Academy Award), Michel Hazanavicius",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film, César - Best Director, César - Best Film",0,,
Carlos,2011-01-01,Olivier Assayas,,1,César - Best Director,0,,
The Tree of Life,2011-01-01,"Emmanuel Lubezki, Terrence Malick, Sarah Green, Bill Pohlad, Dede Gardner, and Grant Hill, Terrence Malick",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Cannes - Palme d'Or,United States
People Mountain People Sea,2011-01-01,Cai Shangjun,,0,,1,Venise - Lion d'Argent,
War Horse,2011-01-01,"Janusz Kamiński, Steven Spielberg and Kathleen Kennedy",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Faust ,2011-01-01,Alexander Sokurov,,0,,1,Venise - Lion d'Or,Russia
The Ghost Writer,2011-01-01,"Roman Polanski, Roman Polanski",,1,"César - Best Director, César - Best Film",0,,
Of Gods and Men,2011-01-01,"Xavier Beauvois, Xavier Beauvois, Xavier Beauvois",,1,"César - Best Director, César - Best Film",1,Cannes - Grand Prix,France
On Tour,2011-01-01,"Mathieu Amalric, Mathieu Amalric",,1,"César - Best Director, César - Best Film",0,,
Once Upon a Time in Anatolia,2011-01-01,Nuri Bilge Ceylan,,0,,1,Cannes - Grand Prix,"Turkey, Bosnia and Herzegovina"
The Girl with the Dragon Tattoo,2011-01-01,Jeff Cronenweth,,1,Oscar - Best Cinematography,0,,
Extremely Loud & Incredibly Close,2011-01-01,Scott Rudin,,1,Oscar - Best Film,0,,
Heartbreaker,2011-01-01,Pascal Chaumeil,,1,César - Best Film,0,,
The Help,2011-01-01,"Brunson Green, Chris Columbus, and Michael Barnathan",,1,Oscar - Best Film,0,,
Hugo,2011-01-01,"Robert Richardson, Martin Scorsese, Graham King and Martin Scorsese",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Gainsbourg: A Heroic Life,2011-01-01,Joann Sfar,,1,César - Best Film,0,,
The Clink of Ice,2011-01-01,Bertrand Blier,,1,César - Best Director,0,,
The Names of Love,2011-01-01,Michel Leclerc,,1,César - Best Film,0,,
Mammuth,2011-01-01,Benoît Delépine and Gustave de Kervern,,1,César - Best Film,0,,
Moneyball,2011-01-01,"Michael De Luca, Rachael Horovitz, and Brad Pitt",,1,Oscar - Best Film,0,,
The Kid with a Bike,2011-01-01,Jean-Pierre & Luc Dardenne,,0,,1,Cannes - Grand Prix,"Belgium, France"
Midnight in Paris,2011-01-01,"Woody Allen, Letty Aronson and Stephen Tenenbaum",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Descendants,2011-01-01,"Alexander Payne, Jim Burke, Alexander Payne, and Jim Taylor",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Terraferma,2011-01-01,Emanuele Crialese,,0,,1,Venise - Grand Prix du Jury,Italy
Skyfall,2012-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
Le Havre,2012-01-01,"Aki Kaurismäki, Aki Kaurismäki",,1,"César - Best Director, César - Best Film",0,,
The Minister,2012-01-01,"Pierre Scholler, Pierre Schöller",,1,"César - Best Director, César - Best Film",0,,
Amour,2012-01-01,"Michael Haneke, Margaret Menegoz, Stefan Arndt, Veit Heiduschka, and Michael Katz, Michael Haneke (nominated for the Academy Award), Michael Haneke, Michael Haneke",,1,"Oscar - Best Director, Oscar - Best Film, César - Best Director, César - Best Film",1,Cannes - Palme d'Or,"France, Germany, Austria"
The Master,2012-01-01,Paul Thomas Anderson,,0,,1,Venise - Lion d'Argent,
Beasts of the Southern Wild,2012-01-01,"Benh Zeitlin, Dan Janvey, Josh Penn, and Michael Gottwald",,1,"Oscar - Best Director, Oscar - Best Film",0,,
The Angels' Share,2012-01-01,Ken Loach,,0,,0,,"United Kingdom, France, Belgium, Italy"
Anna Karenina,2012-01-01,Seamus McGarvey,,1,Oscar - Best Cinematography,0,,
Paradise: Faith,2012-01-01,Ulrich Seidl,,0,,1,Venise - Grand Prix du Jury,"Austria, France, Germany"
Zero Dark Thirty,2012-01-01,"Mark Boal, Kathryn Bigelow, and Megan Ellison",,1,Oscar - Best Film,0,,
Poliss,2012-01-01,Maïwenn,,1,César - Best Film,0,,
Reality,2012-01-01,Matteo Garrone,,0,,1,Cannes - Grand Prix,"Italy, France"
Polisse,2012-01-01,"Maïwenn, Maïwenn",,1,César - Best Director,0,,France
Django Unchained,2012-01-01,"Robert Richardson, Stacey Sher, Reginald Hudlin, and Pilar Savone",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Silver Linings Playbook,2012-01-01,"David O. Russell, Donna Gigliotti, Bruce Cohen, and Jonathan Gordon",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Argo,2012-01-01,"Grant Heslov, Ben Affleck, and George Clooney",,1,Oscar - Best Film,0,,
Pietà,2012-01-01,Kim Ki-duk,,0,,1,Venise - Lion d'Or,South Korea
Declaration of War,2012-01-01,"Valérie Donzelli, Valérie Donzelli",,1,"César - Best Director, César - Best Film",0,,
Pater,2012-01-01,Alain Cavalier,,1,César - Best Film,0,,
Life of Pi,2012-01-01,"Claudio Miranda, Ang Lee, Gil Netter, Ang Lee, and David Womark",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Intouchables,2012-01-01,"Éric Toledano and Olivier Nakache, Éric Toledano and Olivier Nakache",,1,"César - Best Director, César - Best Film",0,,
Lincoln,2012-01-01,"Janusz Kamiński, Steven Spielberg, Steven Spielberg and Kathleen Kennedy",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
A Few Hours of Spring,2013-01-01,Stéphane Brizé,,1,César - Best Director,0,,
Blue Is the Warmest Colour ,2013-01-01,Abdellatif Kechiche,,0,,1,Cannes - Palme d'Or,"France, Belgium, Spain"
The Wolf of Wall Street,2013-01-01,"Martin Scorsese, Martin Scorsese, Leonardo DiCaprio, Joey McFarland, and Emma Tillinger Koskoff",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Captain Phillips,2013-01-01,"Scott Rudin, Dana Brunetti, and Michael De Luca",,1,Oscar - Best Film,0,,
Camille Rewinds,2013-01-01,"Noémie Lvovsky, Noémie Lvovsky",,1,"César - Best Director, César - Best Film",0,,
12 Years a Slave,2013-01-01,"Steve McQueen, Brad Pitt, Dede Gardner, Jeremy Kleiner, Steve McQueen, and Anthony Katagas",,1,"Oscar - Best Director, Oscar - Best Film",0,,
What's in a Name?,2013-01-01,Alexandre de La Patellière and Matthieu Delaporte,,1,César - Best Film,0,,
American Hustle,2013-01-01,"David O. Russell, Charles Roven, Richard Suckle, Megan Ellison, and Jonathan Gordon",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Dallas Buyers Club,2013-01-01,Robbie Brenner and Rachel Winter,,1,Oscar - Best Film,0,,
Gravity,2013-01-01,"Emmanuel Lubezki, Alfonso Cuarón, Alfonso Cuarón and David Heyman",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Rust and Bone,2013-01-01,"Jacques Audiard, Jacques Audiard",,1,"César - Best Director, César - Best Film",0,,
In the House,2013-01-01,"François Ozon, François Ozon",,1,"César - Best Director, César - Best Film",0,,
Miss Violence,2013-01-01,Alexandros Avranas,,0,,1,Venise - Lion d'Argent,
Inside Llewyn Davis,2013-01-01,"Bruno Delbonnel, Joel & Ethan Coen",,1,Oscar - Best Cinematography,1,Cannes - Grand Prix,"United States, United Kingdom, France"
Stray Dogs,2013-01-01,Tsai Ming-liang,,0,,1,Venise - Grand Prix du Jury,"Taiwan, France"
"Farewell, My Queen",2013-01-01,"Benoît Jacquot, Benoît Jacquot",,1,"César - Best Director, César - Best Film",0,,
Philomena,2013-01-01,"Gabrielle Tana, Steve Coogan, and Tracey Seaward",,1,Oscar - Best Film,0,,
Sacro GRA,2013-01-01,Gianfranco Rosi,,0,,1,Venise - Lion d'Or,Italy
Prisoners,2013-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
Holy Motors,2013-01-01,"Leos Carax, Leos Carax",,1,"César - Best Director, César - Best Film",0,,
Nebraska,2013-01-01,"Phedon Papamichael, Alexander Payne, Albert Berger and Ron Yerxa",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
"Like Father, Like Son",2013-01-01,Hirokazu Kore-eda,,0,,0,,Japan
Her,2013-01-01,"Megan Ellison, Spike Jonze, and Vincent Landay",,1,Oscar - Best Film,0,,
The Grandmaster,2013-01-01,Philippe Le Sourd,,1,Oscar - Best Cinematography,0,,
Mommy,2014-01-01,Xavier Dolan,,0,,0,,Canada
Venus in Fur,2014-01-01,"Roman Polanski, Roman Polanski",,1,"César - Best Director, César - Best Film",0,,
Goodbye to Language,2014-01-01,Jean-Luc Godard,,0,,0,,France
The Imitation Game,2014-01-01,"Morten Tyldum, Nora Grossman, Ido Ostrowsky, and Teddy Schwarzman",,1,"Oscar - Best Director, Oscar - Best Film",0,,
"Me, Myself and Mum",2014-01-01,"Guillaume Gallienne, Guillaume Gallienne",,1,"César - Best Director, César - Best Film",0,,
Ida,2014-01-01,Łukasz Żal and Ryszard Lenczewski,,1,Oscar - Best Cinematography,0,,
Birdman or (The Unexpected Virtue of Ignorance),2014-01-01,"Emmanuel Lubezki, Alejandro G. Iñárritu, John Lesher, and James W. Skotchdopole",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Foxcatcher,2014-01-01,Bennett Miller,,1,Oscar - Best Director,0,,
American Sniper,2014-01-01,"Clint Eastwood, Andrew Lazar, Robert Lorenz, Bradley Cooper, and Peter Morgan",,1,Oscar - Best Film,0,,
Birdman,2014-01-01,Alejandro González Iñárritu,,1,Oscar - Best Director,0,,
Whiplash,2014-01-01,"Jason Blum, Helen Estabrook, and David Lancaster",,1,Oscar - Best Film,0,,
The Look of Silence,2014-01-01,Joshua Oppenheimer,,0,,1,Venise - Grand Prix du Jury,"Denmark, Indonesia"
The Past,2014-01-01,"Asghar Farhadi, Asghar Farhadi",,1,"César - Best Director, César - Best Film",0,,
Mr. Turner,2014-01-01,Dick Pope,,1,Oscar - Best Cinematography,0,,
Boyhood,2014-01-01,"Richard Linklater, Richard Linklater and Cathleen Sutherland",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Selma,2014-01-01,"Christian Colson, Oprah Winfrey, Dede Gardner, and Jeremy Kleiner",,1,Oscar - Best Film,0,,
9 Month Stretch,2014-01-01,"Albert Dupontel, Albert Dupontel",,1,"César - Best Director, César - Best Film",0,,
The Wonders,2014-01-01,Alice Rohrwacher,,0,,1,Cannes - Grand Prix,"Italy, Switzerland, Germany"
Blue Is the Warmest Colour,2014-01-01,"Abdellatif Kechiche, Abdellatif Kechiche",,1,"César - Best Director, César - Best Film",0,,
Unbroken,2014-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
Jimmy P.,2014-01-01,"Arnaud Desplechin, Arnaud Desplechin",,1,"César - Best Director, César - Best Film",0,,
Stranger by the Lake,2014-01-01,"Alain Guiraudie, Alain Guiraudie",,1,"César - Best Director, César - Best Film",0,,
The Grand Budapest Hotel,2014-01-01,"Robert Yeoman, Wes Anderson, Wes Anderson, Scott Rudin, Steven Rales, and Jeremy Dawson",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Postman's White Nights,2014-01-01,Andrei Konchalovsky,,0,,1,Venise - Lion d'Argent,
Winter Sleep,2014-01-01,Nuri Bilge Ceylan,,0,,1,Cannes - Palme d'Or,"Turkey, France, Germany"
The Theory of Everything,2014-01-01,"Tim Bevan, Eric Fellner, Lisa Bruce, and Anthony McCarten",,1,Oscar - Best Film,0,,
A Pigeon Sat on a Branch Reflecting on Existence,2014-01-01,Roy Andersson,,0,,1,Venise - Lion d'Or,Sweden
The Clan,2015-01-01,Pablo Trapero,,0,,1,Venise - Lion d'Argent,
Eastern Boys,2015-01-01,"Robin Campillo, Robin Campillo",,1,"César - Best Director, César - Best Film",0,,
Mad Max: Fury Road,2015-01-01,"John Seale, George Miller, Doug Mitchell and George Miller",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Carol,2015-01-01,Edward Lachman,,1,Oscar - Best Cinematography,0,,
The Hateful Eight,2015-01-01,Robert Richardson,,1,Oscar - Best Cinematography,0,,
Timbuktu,2015-01-01,"Abderrahmane Sissako, Abderrahmane Sissako",,1,"César - Best Director, César - Best Film",0,,
Love at First Fight,2015-01-01,"Thomas Cailley, Thomas Cailley",,1,"César - Best Director, César - Best Film",0,,
Bridge of Spies,2015-01-01,"Steven Spielberg, Marc Platt, and Kristie Macosko Krieger",,1,Oscar - Best Film,0,,
Hippocrates,2015-01-01,"Thomas Lilti, Thomas Lilti",,1,"César - Best Director, César - Best Film",0,,
Clouds of Sils Maria,2015-01-01,"Olivier Assayas, Olivier Assayas",,1,"César - Best Director, César - Best Film",0,,
Brooklyn,2015-01-01,Finola Dwyer and Amanda Posey,,1,Oscar - Best Film,0,,
Anomalisa,2015-01-01,Charlie Kaufman,,0,,1,Venise - Grand Prix du Jury,United States
The Revenant,2015-01-01,"Emmanuel Lubezki, Alejandro González Iñárritu, Arnon Milchan, Steve Golin, Alejandro G. Iñárritu, Mary Parent, and Keith Redmon",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Spotlight,2015-01-01,"Tom McCarthy, Blye Pagon Faust, Steve Golin, Nicole Rocklin, and Michael Sugar",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Saint Laurent,2015-01-01,"Bertrand Bonello, Bertrand Bonello",,1,"César - Best Director, César - Best Film",0,,
Room,2015-01-01,"Lenny Abrahamson, Ed Guiney",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Son of Saul,2015-01-01,László Nemes,,0,,1,Cannes - Grand Prix,Hungary
From Afar,2015-01-01,Lorenzo Vigas,,0,,1,Venise - Lion d'Or,Venezuela
The Martian,2015-01-01,"Simon Kinberg, Ridley Scott, Michael Schaefer, and Mark Huffam",,1,Oscar - Best Film,0,,
Sicario,2015-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
The Bélier Family,2015-01-01,Éric Lartigau,,1,César - Best Film,0,,
Girlhood,2015-01-01,Céline Sciamma,,1,César - Best Director,0,,
The Lobster,2015-01-01,Yorgos Lanthimos,,0,,0,,"Ireland, United Kingdom, France, Greece, Netherlands"
The Big Short,2015-01-01,"Adam McKay, Dede Gardner, Jeremy Kleiner, and Brad Pitt",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Hidden Figures,2016-01-01,"Donna Gigliotti, Peter Chernin, Jenno Topping, Pharrell Williams, and Theodore Melfi",,1,Oscar - Best Film,0,,
Lion,2016-01-01,"Greig Fraser, Emile Sherman, Iain Canning, and Angie Fielder",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
Moonlight,2016-01-01,"James Laxton, Barry Jenkins, Adele Romanski, Dede Gardner, and Jeremy Kleiner",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Woman Who Left,2016-01-01,Lav Diaz,,0,,1,Venise - Lion d'Or,Philippines
Standing Tall,2016-01-01,"Emmanuelle Bercot, Emmanuelle Bercot",,1,"César - Best Director, César - Best Film",0,,
La La Land,2016-01-01,"Linus Sandgren, Damien Chazelle, Fred Berger, Jordan Horowitz, and Marc Platt",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
Mon roi,2016-01-01,"Maïwenn, Maïwenn",,1,"César - Best Director, César - Best Film",0,,
Silence,2016-01-01,Rodrigo Prieto,,1,Oscar - Best Cinematography,0,,
Fatima,2016-01-01,Philippe Faucon,,1,César - Best Film,0,,
Fences,2016-01-01,"Scott Rudin, Denzel Washington, and Todd Black",,1,Oscar - Best Film,0,,
Dheepan,2016-01-01,"Jacques Audiard, Jacques Audiard, Jacques Audiard",,1,"César - Best Director, César - Best Film",1,Cannes - Palme d'Or,France
Hacksaw Ridge,2016-01-01,"Mel Gibson, Bill Mechanic and David Permut",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Manchester by the Sea,2016-01-01,"Kenneth Lonergan, Matt Damon, Kimberly Steward, Chris Moore, Lauren Beck, and Kevin J. Walsh",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Paradise,2016-01-01,Andrei Konchalovsky,,0,,1,Venise - Lion d'Argent,
Hell or High Water,2016-01-01,Carla Hacken and Julie Yorn,,1,Oscar - Best Film,0,,
Arrival,2016-01-01,"Bradford Young, Denis Villeneuve, Shawn Levy, Dan Levine, Aaron Ryder, and David Linde",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Untamed,2016-01-01,Amat Escalante,,0,,1,Venise - Lion d'Argent,
"I, Daniel Blake",2016-01-01,Ken Loach,,0,,1,Cannes - Palme d'Or,United Kingdom
The Measure of a Man,2016-01-01,"Stéphane Brizé, Stéphane Brizé",,1,"César - Best Director, César - Best Film",0,,
Marguerite,2016-01-01,"Xavier Giannoli, Xavier Giannoli",,1,"César - Best Director, César - Best Film",0,,
My Golden Days,2016-01-01,"Arnaud Desplechin, Arnaud Desplechin",,1,"César - Best Director, César - Best Film",0,,
Nocturnal Animals,2016-01-01,Tom Ford,,0,,1,Venise - Grand Prix du Jury,United States
American Honey,2016-01-01,Andrea Arnold,,0,,0,,"United Kingdom, United States"
Mustang,2016-01-01,"Deniz Gamze Ergüven, Deniz Gamze Ergüven",,1,"César - Best Director, César - Best Film",0,,
Lady Bird,2017-01-01,"Greta Gerwig, Scott Rudin, Eli Bush, and Evelyn O'Neill",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Mudbound,2017-01-01,Rachel Morrison,,1,Oscar - Best Cinematography,0,,
Elle,2017-01-01,"Paul Verhoeven, Paul Verhoeven",,1,"César - Best Director, César - Best Film",0,,
Loveless,2017-01-01,Andrey Zvyagintsev,,0,,0,,"Russia, France, Belgium, Germany"
"Three Billboards Outside Ebbing, Missouri",2017-01-01,"Graham Broadbent, Pete Czernin, and Martin McDonagh",,1,Oscar - Best Film,0,,
Phantom Thread,2017-01-01,"Paul Thomas Anderson, JoAnne Sellar, Paul Thomas Anderson, Megan Ellison, and Daniel Lupi",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Blade Runner 2049,2017-01-01,Roger Deakins,,1,Oscar - Best Cinematography,0,,
Slack Bay,2017-01-01,"Bruno Dumont, Bruno Dumont",,1,"César - Best Director, César - Best Film",0,,
It's Only the End of the World,2017-01-01,"Xavier Dolan, Xavier Dolan",,1,César - Best Director,1,Cannes - Grand Prix,"Canada, France"
Call Me by Your Name,2017-01-01,"Peter Spears, Luca Guadagnino, Emilie Georges, and Marco Morabito",,1,Oscar - Best Film,0,,
Darkest Hour,2017-01-01,"Bruno Delbonnel, Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten, and Douglas Urbanski",,1,"Oscar - Best Cinematography, Oscar - Best Film",0,,
The Post,2017-01-01,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger",,1,Oscar - Best Film,0,,
Divines,2017-01-01,"Houda Benyamina, Houda Benyamina",,1,"César - Best Director, César - Best Film",0,,
The Square,2017-01-01,Ruben Östlund,,0,,1,Cannes - Palme d'Or,"Sweden, Germany, France, Denmark"
In Bed with Victoria,2017-01-01,Justine Triet,,1,César - Best Film,0,,
Dunkirk,2017-01-01,"Hoyte van Hoytema, Christopher Nolan, Emma Thomas and Christopher Nolan",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",0,,
The Shape of Water,2017-01-01,"Dan Laustsen, Guillermo del Toro, Guillermo del Toro and J. Miles Dale, Guillermo del Toro",,1,"Oscar - Best Cinematography, Oscar - Best Director, Oscar - Best Film",1,Venise - Lion d'Or,United States
Frantz,2017-01-01,"François Ozon, François Ozon",,1,"César - Best Director, César - Best Film",0,,
From the Land of the Moon,2017-01-01,"Nicole Garcia, Nicole Garcia",,1,"César - Best Director, César - Best Film",0,,
Get Out,2017-01-01,"Jordan Peele, Sean McKittrick, Jason Blum, Edward H. Hamm Jr., and Jordan Peele",,1,"Oscar - Best Director, Oscar - Best Film",0,,
Foxtrot,2017-01-01,Samuel Maoz,,0,,1,Venise - Grand Prix du Jury,"France, Germany, Israel, Switzerland"
BlacKkKlansman,2018-01-01,"Spike Lee, Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee, Spike Lee",,1,"Oscar - Best Director, Oscar - Best Film",1,Cannes - Grand Prix,United States
Vice,2018-01-01,"Adam McKay, Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick",,1,"Oscar - Best Director, Oscar - Best Film",0,,
