Year of Film Release,Film,Film Studio,Film Studio/Producer(s),Producer(s),Production Company,Nominations,Wins
1954 (27th),On the Waterfront,,Sam Spiegel,,,,
1954 (27th),The Caine Mutiny,,Stanley Kramer,,,,
1954 (27th),The Country Girl,,William Perlberg,,,,
1954 (27th),Seven Brides for Seven Brothers,,Jack Cummings,,,,
1954 (27th),Three Coins in the Fountain,,Sol C. Siegel,,,,
1955 (28th),,,,,,,
1955 (28th),Marty,,Harold Hecht,,,,
1955 (28th),Love Is a Many-Splendored Thing,,Buddy Adler,,,,
1955 (28th),Mister Roberts,,Leland Hayward,,,,
1955 (28th),Picnic,,Fred Kohlmar,,,,
1955 (28th),The Rose Tattoo,,Hal B. Wallis,,,,
1956 (29th),,,,,,,
1956 (29th),Around the World in 80 Days,,Michael Todd,,,,
1956 (29th),Friendly Persuasion,,William Wyler,,,,
1956 (29th),Giant,,George Stevens and Henry Ginsberg,,,,
1956 (29th),The King and I,,Charles Brackett,,,,
1956 (29th),The Ten Commandments,,Cecil B. DeMille,,,,
1957 (30th),,,,,,,
1957 (30th),The Bridge on the River Kwai,,Sam Spiegel,,,,
1957 (30th),12 Angry Men,,Henry Fonda and Reginald Rose,,,,
1957 (30th),Peyton Place,,Jerry Wald,,,,
1957 (30th),Sayonara,,William Goetz,,,,
1957 (30th),Witness for the Prosecution,,Arthur Hornblow Jr.,,,,
1958 (31st),,,,,,,
1958 (31st),Gigi,,Arthur Freed,,,,
1958 (31st),Auntie Mame,,Jack L. Warner,,,,
1958 (31st),Cat on a Hot Tin Roof,,Lawrence Weingarten,,,,
1958 (31st),The Defiant Ones,,Stanley Kramer,,,,
1958 (31st),Separate Tables,,Harold Hecht,,,,
1959 (32nd),,,,,,,
1959 (32nd),Ben-Hur,,Sam Zimbalist,,,,
1959 (32nd),Anatomy of a Murder,,Otto Preminger,,,,
1959 (32nd),The Diary of Anne Frank,,George Stevens,,,,
1959 (32nd),The Nun's Story,,Henry Blanke,,,,
1959 (32nd),Room at the Top,,John Woolf and James Woolf,,,,
1960 (33rd),,,,,,,
1960 (33rd),The Apartment,,,Billy Wilder,,,
1960 (33rd),The Alamo,,,John Wayne,,,
1960 (33rd),Elmer Gantry,,,Bernard Smith,,,
1960 (33rd),Sons and Lovers,,,Jerry Wald,,,
1960 (33rd),The Sundowners,,,Fred Zinnemann,,,
1961 (34th),,,,,,,
1961 (34th),West Side Story,,,Robert Wise,,,
1961 (34th),Fanny,,,Joshua Logan,,,
1961 (34th),The Guns of Navarone,,,Carl Foreman,,,
1961 (34th),The Hustler,,,Robert Rossen,,,
1961 (34th),Judgment at Nuremberg,,,Stanley Kramer,,,
1962 (35th),,,,,,,
1962 (35th),Lawrence of Arabia,,,Sam Spiegel,,,
1962 (35th),The Longest Day,,,Darryl F. Zanuck,,,
1962 (35th),The Music Man,,,Morton DaCosta,,,
1962 (35th),Mutiny on the Bounty,,,Aaron Rosenberg,,,
1962 (35th),To Kill a Mockingbird,,,Alan J. Pakula,,,
1963 (36th),,,,,,,
1963 (36th),Tom Jones,,,Tony Richardson,,,
1963 (36th),America America,,,Elia Kazan,,,
1963 (36th),Cleopatra,,,Walter Wanger,,,
1963 (36th),How the West Was Won,,,Bernard Smith,,,
1963 (36th),Lilies of the Field,,,Ralph Nelson,,,
1964 (37th),,,,,,,
1964 (37th),My Fair Lady,,,Jack L. Warner,,,
1964 (37th),Becket,,,Hal B. Wallis,,,
1964 (37th),Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,,,Stanley Kubrick,,,
1964 (37th),Mary Poppins,,,Walt Disney and Bill Walsh,,,
1964 (37th),Zorba the Greek,,,Michael Cacoyannis,,,
1965 (38th),,,,,,,
1965 (38th),The Sound of Music,,,Robert Wise,,,
1965 (38th),Darling,,,Joseph Janni,,,
1965 (38th),Doctor Zhivago,,,Carlo Ponti,,,
1965 (38th),Ship of Fools,,,Stanley Kramer,,,
1965 (38th),A Thousand Clowns,,,Fred Coe,,,
1966 (39th),,,,,,,
1966 (39th),A Man for All Seasons,,,Fred Zinnemann,,,
1966 (39th),Alfie,,,Lewis Gilbert,,,
1966 (39th),"The Russians Are Coming, the Russians Are Coming",,,Norman Jewison,,,
1966 (39th),The Sand Pebbles,,,Robert Wise,,,
1966 (39th),Who's Afraid of Virginia Woolf?,,,Ernest Lehman,,,
1967 (40th),,,,,,,
1967 (40th),In the Heat of the Night,,,Walter Mirisch,,,
1967 (40th),Bonnie and Clyde,,,Warren Beatty,,,
1967 (40th),Doctor Dolittle,,,Arthur P. Jacobs,,,
1967 (40th),The Graduate,,,Lawrence Turman,,,
1967 (40th),Guess Who's Coming to Dinner,,,Stanley Kramer,,,
1968 (41st),,,,,,,
1968 (41st),Oliver!,,,John Woolf,,,
1968 (41st),Funny Girl,,,Ray Stark,,,
1968 (41st),The Lion in Winter,,,Martin Poll,,,
1968 (41st),"Rachel, Rachel",,,Paul Newman,,,
1968 (41st),Romeo and Juliet,,,Anthony Havelock-Allan and John Brabourne,,,
1969 (42nd),,,,,,,
