Year,English title,Original title,Director
2014,"Me, Myself and Mum","Les Garçons et Guillaume, à table!",Guillaume Gallienne
2014,9 Month Stretch,Neuf mois ferme,Albert Dupontel
2014,Blue Is the Warmest Colour,La Vie d'Adèle – Chapitres 1 & 2,Abdellatif Kechiche
2014,Jimmy P.,Jimmy P.,Arnaud Desplechin
2014,The Past,Le Passé,Asghar Farhadi
2014,Stranger by the Lake,L'Inconnu du lac,Alain Guiraudie
2014,Venus in Fur,La Vénus à la fourrure,Roman Polanski
2015,Timbuktu,Timbuktu,Abderrahmane Sissako
2015,Love at First Fight,Les Combattants,Thomas Cailley
2015,Eastern Boys,Eastern Boys,Robin Campillo
2015,The Bélier Family,La Famille Bélier,Éric Lartigau
2015,Hippocrates,Hippocrate,Thomas Lilti
2015,Saint Laurent,Saint Laurent,Bertrand Bonello
2015,Clouds of Sils Maria,Sils Maria,Olivier Assayas
2016,,,
2016,Fatima,Fatima,Philippe Faucon
2016,Dheepan,Dheepan,Jacques Audiard
2016,The Measure of a Man,La Loi du marché,Stéphane Brizé
2016,Marguerite,Marguerite,Xavier Giannoli
2016,Mon roi,Mon roi,Maïwenn
2016,Mustang,Mustang,Deniz Gamze Ergüven
2016,Standing Tall,La Tête haute,Emmanuelle Bercot
2016,My Golden Days,Trois souvenirs de ma jeunesse,Arnaud Desplechin
2017,,,
2017,Elle,Elle,Paul Verhoeven
2017,Divines,Divines,Houda Benyamina
2017,Frantz,Frantz,François Ozon
2017,The Innocents,Les Innocentes,Anne Fontaine
2017,Slack Bay,Ma Loute,Bruno Dumont
2017,From the Land of the Moon,Mal de pierres,Nicole Garcia
2017,In Bed with Victoria,Victoria,Justine Triet
2018,,,
2018,BPM (Beats per Minute),120 battements par minute,Robin Campillo
2018,See You Up There,Au revoir là-haut,Albert Dupontel
2018,Barbara,Barbara,Mathieu Amalric
2018,Le Brio,Le Brio,Yvan Attal
2018,Patients,Patients,Grand Corps Malade and Mehdi Idir
2018,Bloody Milk,Petit Paysan,Hubert Charuel
2018,C'est la vie!,Le Sens de la fête,Éric Toledano and Olivier Nakache
2019,,,
2019,Custody,Jusqu'à la garde,Xavier Legrand
2019,Sink or Swim,Le Grand Bain,Gilles Lellouche
2019,The Sisters Brothers,The Sisters Brothers,Jacques Audiard
2019,In Safe Hands,Pupille,Jeanne Herry
2019,Guy,Guy,Alex Lutz
2019,The Trouble with You,En liberté!,Pierre Salvadori
2019,Memoir of War,La douleur,Emmanuel Finkiel
2020,Les Misérables,Les Misérables,Ladj Ly
2020,La Belle Époque,La Belle Époque,Nicolas Bedos
2020,By the Grace of God,Grâce à Dieu,François Ozon
2020,The Specials,Hors normes,Éric Toledano and Olivier Nakache
2020,An Officer and a Spy,J'accuse,Roman Polanski
2020,Portrait of a Lady on Fire,Portrait de la jeune fille en feu,Céline Sciamma
2020,Oh Mercy!,"Roubaix, une lumière",Arnaud Desplechin
2021,Bye Bye Morons,Adieu les cons,Albert Dupontel
2021,Adolescents,Adolescentes,Sébastien Lifshitz
2021,"My Donkey, My Lover & I",Antoinette dans les Cévennes,Caroline Vignal
2021,Love Affair(s),"Les Choses qu'on dit, les choses qu'on fait",Emmanuel Mouret
2021,Summer of 85,Été 85,François Ozon
2022 [1],Lost Illusions,Illusions perdues,Xavier Giannoli
2022 [1],Aline,Aline,Valérie Lemercier
2022 [1],Annette,Annette,Leos Carax
2022 [1],The Divide,La fracture,Catherine Corsini
2022 [1],Happening,L'événement,Audrey Diwan
2022 [1],"Onoda: 10,000 Nights in the Jungle","Onoda, 10 000 nuits dans la jungle",Arthur Harari
2022 [1],The Stronghold,BAC Nord,Cédric Jimenez
2023 [2],The Night of the 12th,La Nuit du 12,Dominik Moll
2023 [2],Forever Young,Les Amandiers,Valeria Bruni Tedeschi
2023 [2],Rise,En corps,Cédric Klapisch
2023 [2],The Innocent,L'Innocent,Louis Garrel
2023 [2],Pacifiction,Pacifiction – Tourment sur les îles,Albert Serra
