Superlative,Men,Men.1,Women,Women.1,Year,Winner and nominees,English title,Original title,Winners and nominees,Wins,Director,Nominations
,,,,,1998 (23rd),,Marius and Jeannette,Marius et Jeannette,Robert Guédiguian,,,
,,,,,1998 (23rd),,Western,Western,Manuel Poirier,,,
,,,,,1998 (23rd),,Same Old Song,On connaît la chanson,Alain Resnais,,,
,,,,,1999 (24th),,Those Who Love Me Can Take the Train,Ceux qui m'aiment prendront le train,Patrice Chéreau,,,
,,,,,1999 (24th),,Place Vendôme,,Nicole Garcia,,,
,,,,,1999 (24th),,Taxi,Taxi,Gérard Pirès,,,
,,,,,1999 (24th),,The Dinner Game,Le Dîner de cons,Francis Veber,,,
,,,,,1999 (24th),,The Dreamlife of Angels,La Vie rêvée des anges,Erick Zonca,,,
,,,,,2000 (25th),Tonie Marshall,Venus Beauty Institute,Vénus Beauté (Institut),,,,
,,,,,2000 (25th),Jean Becker,The Children of the Marshland,Les Enfants du marais,,,,
,,,,,2000 (25th),Luc Besson,The Messenger: The Story of Joan of Arc,The Messenger: The Story of Joan of Arc,,,,
,,,,,2000 (25th),Michel Deville,Sachs' Disease,La Maladie de Sachs,,,,
,,,,,2000 (25th),Patrice Leconte,Girl on the Bridge,La Fille sur le pont,,,,
,,,,,2000 (25th),Régis Wargnier,East/West,Est–Ouest,,,,
,,,,,2001 (26th),Dominik Moll,"Harry, He's Here to Help","Harry, un ami qui vous veut du bien",,,,
,,,,,2001 (26th),Jean-Pierre Denis,Murderous Maids,Les Blessures assassines,,,,
,,,,,2001 (26th),Agnès Jaoui,The Taste of Others,Le Goût des autres,,,,
,,,,,2001 (26th),Mathieu Kassovitz,The Crimson Rivers,Les Rivières pourpres,,,,
,,,,,2001 (26th),Patricia Mazuy,Saint-Cyr,Saint-Cyr,,,,
,,,,,2002 (27th),Jean-Pierre Jeunet,Amélie,Le Fabuleux Destin d'Amélie Poulain,,,,
,,,,,2002 (27th),Jacques Audiard,Read My Lips,Sur mes lèvres,,,,
,,,,,2002 (27th),François Dupeyron,The Officers' Ward,La Chambre des officiers,,,,
,,,,,2002 (27th),Patrice Chéreau,Intimacy,Intimacy,,,,
,,,,,2002 (27th),François Ozon,Under the Sand,Sous le sable,,,,
,,,,,2003 (28th),Roman Polanski (won the Academy Award),The Pianist,The Pianist,,,,
,,,,,2003 (28th),Costa Gavras,Amen.,Amen.,,,,
,,,,,2003 (28th),Cédric Klapisch,The Spanish Apartement (a.k.a. Pot Luck),L'Auberge espagnole,,,,
,,,,,2003 (28th),Nicolas Philibert,To Be and to Have,Être et avoir,,,,
,,,,,2003 (28th),François Ozon,8 Women,8 femmes,,,,
,,,,,2004 (29th),Denys Arcand,The Barbarian Invasions,Les Invasions barbares,,,,
,,,,,2004 (29th),Lucas Belvaux,One: On the Run Two: An Amazing Couple Three: After Life,Cavale Un couple épatant Après la vie,,,,
,,,,,2004 (29th),Claude Miller,Little Lili,La Petite Lili,,,,
,,,,,2004 (29th),Jean-Paul Rappeneau,Bon voyage,Bon voyage,,,,
,,,,,2004 (29th),Alain Resnais,Not on the Lips,Pas sur la bouche,,,,
,,,,,2005 (30th),Abdellatif Kechiche,Games of Love and Chance,L'Esquive,,,,
,,,,,2005 (30th),Christophe Barratier,The Chorus,Les Choristes,,,,
,,,,,2005 (30th),Arnaud Desplechin,Kings and Queen,Rois et reine,,,,
,,,,,2005 (30th),Jean-Pierre Jeunet,A Very Long Engagement,Un long dimanche de fiançailles,,,,
,,,,,2005 (30th),Olivier Marchal,Département 36,36 Quai des Orfèvres,,,,
,,,,,2006 (31st),Jacques Audiard,The Beat That My Heart Skipped,De battre mon cœur s'est arrêté,,,,
,,,,,2006 (31st),Xavier Beauvois,The Young Lieutenant,Le Petit Lieutenant,,,,
,,,,,2006 (31st),Jean-Pierre and Luc Dardenne,The Child,L'Enfant,,,,
,,,,,2006 (31st),Michael Haneke,Hidden,Caché,,,,
,,,,,2006 (31st),Radu Mihaileanu,Live and Become,"Va, vis et deviens",,,,
,,,,,2007 (32nd),Guillaume Canet,Tell No One,Ne le dis à personne,,,,
,,,,,2007 (32nd),Rachid Bouchareb,Days of Glory,Indigènes,,,,
,,,,,2007 (32nd),Pascale Ferran,Lady Chatterley,Lady Chatterley,,,,
,,,,,2007 (32nd),Philippe Lioret,"Don't Worry, I'm Fine","Je vais bien, ne t'en fais pas",,,,
,,,,,2007 (32nd),Alain Resnais,Private Fears in Public Places,Cœurs,,,,
