"('Year', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')","('English Title', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')","('Original Title', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')","('Director(s)', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')","('Production Country', '1960s', 'Awarded as ""Grand Prix Spécial du Jury""')",Number of Wins,Directors,Nationality,Films,Ref(s)
1996,Breaking the Waves,Breaking the Waves,Lars von Trier,"Denmark, United Kingdom",,,,,
1997,The Sweet Hereafter,The Sweet Hereafter,Atom Egoyan,Canada,,,,,
1998,Life Is Beautiful,La vita è bella,Roberto Benigni,Italy,,,,,
1999,Humanité,Humanité,Bruno Dumont,France,,,,,
2000s,2000s,2000s,2000s,2000s,,,,,
2000,Devils on the Doorstep,鬼子来了,Jiang Wen,China,,,,,
2001,The Piano Teacher,La Pianiste,Michael Haneke,"France, Austria, Germany",,,,,
2002,The Man Without a Past,Mies vailla menneisyyttä,Aki Kaurismäki,Finland,,,,,
2003,Uzak,Uzak,Nuri Bilge Ceylan,Turkey,,,,,
2004,Oldboy,올드보이,Park Chan-wook,South Korea,,,,,
2005,Broken Flowers,Broken Flowers,Jim Jarmusch,"France, United States",,,,,
2006,Flanders,Flanders,Bruno Dumont,France,,,,,
2007,The Mourning Forest,殯の森,Naomi Kawase,Japan,,,,,
2008,Gomorrah,Gomorra,Matteo Garrone,Italy,,,,,
2009,A Prophet,Un prophète,Jacques Audiard,France,,,,,
2010s,2010s,2010s,2010s,2010s,,,,,
2010,Of Gods and Men,Des hommes et des dieux,Xavier Beauvois,France,,,,,
2011,The Kid with a Bike,Le Gamin au vélo,Jean-Pierre & Luc Dardenne,"Belgium, France",,,,,
2011,Once Upon a Time in Anatolia,Bir Zamanlar Anadolu'da,Nuri Bilge Ceylan,"Turkey, Bosnia and Herzegovina",,,,,
2012,Reality,Reality,Matteo Garrone,"Italy, France",,,,,
2013,Inside Llewyn Davis,Inside Llewyn Davis,Joel & Ethan Coen[4],"United States, United Kingdom, France",,,,,
2014,The Wonders,Le meraviglie,Alice Rohrwacher,"Italy, Switzerland, Germany",,,,,
2015,Son of Saul,Saul fia,László Nemes,Hungary,,,,,
2016,It's Only the End of the World,Juste la fin du monde,Xavier Dolan,"Canada, France",,,,,
2017,BPM (Beats per Minute),120 battements par minute,Robin Campillo,France,,,,,
2018,BlacKkKlansman,BlacKkKlansman,Spike Lee[5],United States,,,,,
2019,Atlantics,Atlantique,Mati Diop,"France, Senegal, Belgium",,,,,
2020s,2020s,2020s,2020s,2020s,,,,,
2021,Compartment No. 6,Hytti nro 6,Juho Kuosmanen,"Finland, Germany, Estonia, Russia",,,,,
2021,A Hero,قهرمان,Asghar Farhadi,"Iran, France",,,,,
2022,Close,Close,Lukas Dhont,"Belgium, Netherlands, France",,,,,
2022,Stars at Noon,Stars at Noon,Claire Denis,France,,,,,
2023,The Zone of Interest,The Zone of Interest,Jonathan Glazer,"United Kingdom, Poland",,,,,
,,,,,2.0,Andrei Tarkovsky,Soviet Union,"Solaris (1972), The Sacrifice (1986)",[6]
,,,,,2.0,Bruno Dumont,France,"Humanité (1999), Flanders (2006)",[7]
,,,,,2.0,Nuri Bilge Ceylan,Turkey,"Uzak (2003), Once Upon a Time in Anatolia (2011)",[8]
,,,,,2.0,Matteo Garrone,Italy,"Gomorrah (2008), Reality (2012)",[9]
